Hemmalag,Bortalag,Hemmamål,Bortamål,Publik,Domare,Arena,Datum,Säsong
Gais,Elfsborg,7,0,4555,Ragnar Bäckström,NA,1926-08-25,1926_1927
Örgryte,Westermalm,4,1,7010,Axel Larsson,NA,1926-08-29,1926_1927
Sleipner,Eskilstuna,8,2,2726,Elias Englund,NA,1926-08-29,1926_1927
Landskrona,IFK Norrköping,1,2,1722,"Sigfrid Benzer, Halmstad",NA,1926-08-29,1926_1927
Helsingborg,IFK Uddevalla,1,0,4686,Carl Olsson,NA,1926-08-29,1926_1927
AIK,IFK Göteborg,2,3,8749,Ernfrid Byman,NA,1926-08-29,1926_1927
IFK Uddevalla,IFK Göteborg,1,2,2116,Sam Hessel,NA,1926-09-05,1926_1927
IFK Norrköping,Örgryte,3,4,2149,Gustaf Ekberg,NA,1926-09-05,1926_1927
Gais,Sleipner,2,1,6373,Knut Lundstedt,NA,1926-09-05,1926_1927
Eskilstuna,Westermalm,4,1,2142,Ernfrid Byman,NA,1926-09-05,1926_1927
Elfsborg,Helsingborg,1,4,3933,Carl Olsson,NA,1926-09-05,1926_1927
AIK,Landskrona,4,0,1305,Einar Bodlund,NA,1926-09-05,1926_1927
Westermalm,Sleipner,2,3,1285,John Björkström,NA,1926-09-12,1926_1927
IFK Norrköping,AIK,2,1,3340,Otto Ohlsson,NA,1926-09-12,1926_1927
Landskrona,Örgryte,0,3,1215,Ivar Carlesson,NA,1926-09-12,1926_1927
Helsingborg,Gais,2,0,7584,Arthur Björklund,NA,1926-09-12,1926_1927
IFK Göteborg,Eskilstuna,3,0,7069,Gustaf Johansson,NA,1926-09-12,1926_1927
Elfsborg,IFK Uddevalla,5,1,2946,Ruben Gelbord,NA,1926-09-12,1926_1927
Örgryte,Helsingborg,3,2,15421,Knut Lundstedt,NA,1926-09-19,1926_1927
Westermalm,IFK Norrköping,4,1,1685,David Andersson,NA,1926-09-19,1926_1927
IFK Uddevalla,AIK,2,2,1811,Gustaf Johansson,NA,1926-09-19,1926_1927
Sleipner,Landskrona,6,0,2971,David Spångberg,NA,1926-09-19,1926_1927
Eskilstuna,Gais,1,6,3189,Ernfrid Byman,NA,1926-09-19,1926_1927
Elfsborg,IFK Göteborg,1,0,3913,Elias Englund,NA,1926-09-19,1926_1927
Sleipner,IFK Uddevalla,1,0,3049,Axel Bergqvist,NA,1926-09-26,1926_1927
Landskrona,Westermalm,4,2,1127,Erik W. Olsson,NA,1926-09-26,1926_1927
Gais,IFK Norrköping,2,2,3727,Sam Hessel,NA,1926-09-26,1926_1927
Eskilstuna,Elfsborg,3,3,2429,John Andersson,NA,1926-09-26,1926_1927
AIK,Helsingborg,1,3,8158,"Sigfrid Benzer, Halmstad",NA,1926-09-26,1926_1927
IFK Uddevalla,Landskrona,1,3,1035,Carl Olsson,NA,1926-10-03,1926_1927
Westermalm,Örgryte,0,0,9090,Ernfrid Byman,NA,1926-10-10,1926_1927
IFK Norrköping,IFK Uddevalla,1,1,2166,Ruben Gelbord,NA,1926-10-10,1926_1927
Landskrona,Gais,1,1,1258,"Sigfrid Benzer, Halmstad",NA,1926-10-10,1926_1927
Helsingborg,Sleipner,4,3,3702,Axel Bergqvist,NA,1926-10-10,1926_1927
IFK Göteborg,AIK,2,0,6517,Arthur Björklund,NA,1926-10-10,1926_1927
Elfsborg,Eskilstuna,2,3,3078,David Andersson,NA,1926-10-10,1926_1927
Örgryte,IFK Norrköping,0,3,7305,Sam Hessel,NA,1926-10-17,1926_1927
IFK Uddevalla,Westermalm,2,2,948,Erik W. Olsson,NA,1926-10-17,1926_1927
Sleipner,IFK Göteborg,0,5,4326,Knut Lundstedt,NA,1926-10-17,1926_1927
Helsingborg,Elfsborg,7,1,4425,"Sigfrid Benzer, Halmstad",NA,1926-10-17,1926_1927
Eskilstuna,Landskrona,5,1,2320,Ruben Gelbord,NA,1926-10-17,1926_1927
AIK,Gais,1,4,8616,Otto Ohlsson,NA,1926-10-17,1926_1927
Westermalm,IFK Göteborg,1,6,12830,John Björkström,NA,1926-10-24,1926_1927
Sleipner,Örgryte,1,1,3155,John Andersson,NA,1926-10-24,1926_1927
Landskrona,AIK,2,3,1750,Carl Olsson,NA,1926-10-24,1926_1927
Gais,Helsingborg,2,1,14148,Arthur Björklund,NA,1926-10-24,1926_1927
Eskilstuna,IFK Uddevalla,2,0,2552,Elias Englund,NA,1926-10-24,1926_1927
Elfsborg,IFK Norrköping,2,4,2705,David Andersson,NA,1926-10-24,1926_1927
Westermalm,Eskilstuna,2,2,6616,John Björkström,NA,1926-10-31,1926_1927
IFK Norrköping,Landskrona,0,3,1602,Ivar Carlesson,NA,1926-10-31,1926_1927
Helsingborg,AIK,2,1,4942,David Andersson,NA,1926-10-31,1926_1927
IFK Göteborg,Sleipner,4,0,9037,Sam Hessel,NA,1926-10-31,1926_1927
Elfsborg,Gais,0,5,3124,Erik W. Olsson,NA,1926-10-31,1926_1927
IFK Uddevalla,Örgryte,0,1,700,"Sigfrid Benzer, Halmstad",NA,1926-11-21,1926_1927
Örgryte,IFK Uddevalla,3,1,6218,"Sigfrid Benzer, Halmstad",NA,1927-04-10,1926_1927
IFK Norrköping,IFK Göteborg,0,1,2193,Axel Bergqvist,NA,1927-04-10,1926_1927
Elfsborg,Sleipner,0,3,3352,David Andersson,NA,1927-04-10,1926_1927
Gais,Westermalm,3,1,6504,Sam Hessel,NA,1927-04-15,1926_1927
Örgryte,Landskrona,2,1,2863,Axel Bergqvist,NA,1927-04-16,1926_1927
IFK Göteborg,Westermalm,2,0,7388,Sam Hessel,NA,1927-04-17,1926_1927
IFK Uddevalla,Elfsborg,2,3,1371,NA,NA,1927-04-18,1926_1927
Gais,Landskrona,4,1,4709,Axel Bergqvist,NA,1927-04-18,1926_1927
AIK,IFK Norrköping,2,1,7410,Sven Klang,NA,1927-04-18,1926_1927
Helsingborg,Eskilstuna,5,3,4518,"Sigfrid Benzer, Halmstad",NA,1927-04-18,1926_1927
IFK Uddevalla,Gais,1,4,1091,Rudolf Börjesson,NA,1927-04-24,1926_1927
IFK Norrköping,Westermalm,3,0,1781,John Björkström,NA,1927-04-24,1926_1927
Landskrona,Eskilstuna,5,1,1741,Arthur Björklund,NA,1927-04-24,1926_1927
IFK Göteborg,Helsingborg,2,3,18521,Knut Lundstedt,NA,1927-04-24,1926_1927
AIK,Elfsborg,2,3,8538,Thore Ekström,NA,1927-04-24,1926_1927
Örgryte,Elfsborg,3,0,5238,Thore Ekström,NA,1927-04-29,1926_1927
Örgryte,Eskilstuna,2,2,6408,Thore Ekström,NA,1927-05-01,1926_1927
Westermalm,Helsingborg,2,1,9143,Arthur Björklund,NA,1927-05-01,1926_1927
IFK Uddevalla,IFK Norrköping,1,1,1115,Carl Olsson,NA,1927-05-01,1926_1927
Sleipner,AIK,1,2,4326,Otto Ohlsson,NA,1927-05-01,1926_1927
Elfsborg,Landskrona,2,1,4138,Harvid Abrahamsson,NA,1927-05-01,1926_1927
Gais,Örgryte,2,1,9426,Arthur Björklund,NA,1927-05-06,1926_1927
Westermalm,Landskrona,1,3,9602,Carl Olsson,NA,1927-05-08,1926_1927
IFK Uddevalla,Sleipner,3,2,894,"Sigfrid Benzer, Halmstad",NA,1927-05-08,1926_1927
Helsingborg,IFK Norrköping,4,0,4708,Axel Bergqvist,NA,1927-05-08,1926_1927
Gais,AIK,1,2,8805,Arthur Björklund,NA,1927-05-08,1926_1927
Eskilstuna,IFK Göteborg,0,3,2606,Ernfrid Byman,NA,1927-05-08,1926_1927
Örgryte,IFK Göteborg,1,2,9472,Gustaf Ekberg,NA,1927-05-13,1926_1927
Sleipner,Gais,1,1,3072,Ruben Gelbord,NA,1927-05-15,1926_1927
AIK,IFK Uddevalla,3,2,12966,Sam Hessel,NA,1927-05-15,1926_1927
IFK Göteborg,Elfsborg,1,0,8225,Gustaf Ekberg,NA,1927-05-15,1926_1927
Eskilstuna,Helsingborg,3,1,2318,Ragnar Bäckström,NA,1927-05-15,1926_1927
AIK,Westermalm,1,1,5391,John Björkström,NA,1927-05-18,1926_1927
Helsingborg,Landskrona,6,0,5704,David Andersson,NA,1927-05-18,1926_1927
Landskrona,IFK Uddevalla,3,1,2059,John Johansson,NA,1927-05-22,1926_1927
IFK Norrköping,Elfsborg,1,1,1402,Ragnar Bäckström,NA,1927-05-22,1926_1927
Eskilstuna,Sleipner,5,2,1930,"Sigfrid Benzer, Halmstad",NA,1927-05-22,1926_1927
AIK,Örgryte,2,0,9158,Otto Ohlsson,NA,1927-05-22,1926_1927
Westermalm,Elfsborg,6,0,6878,"Sigfrid Benzer, Halmstad",NA,1927-05-26,1926_1927
IFK Norrköping,Helsingborg,2,5,2047,John Andersson,NA,1927-05-26,1926_1927
Eskilstuna,AIK,1,3,2525,Thore Ekström,NA,1927-05-26,1926_1927
Örgryte,Sleipner,3,0,1773,Rudolf Börjesson,NA,1927-05-26,1926_1927
IFK Uddevalla,Helsingborg,2,8,1604,John Johansson,NA,1927-05-29,1926_1927
Landskrona,IFK Göteborg,1,4,1867,Arthur Björklund,NA,1927-05-29,1926_1927
Gais,Eskilstuna,4,0,3702,Otto Ohlsson,NA,1927-05-29,1926_1927
Sleipner,Westermalm,1,0,3587,John Björkström,NA,1927-05-29,1926_1927
Sleipner,IFK Norrköping,5,1,4403,Ragnar Bäckström,NA,1927-06-03,1926_1927
IFK Göteborg,Gais,3,4,10221,Sam Hessel,NA,1927-06-03,1926_1927
Westermalm,Gais,3,5,9875,Ernfrid Byman,NA,1927-06-06,1926_1927
IFK Norrköping,Eskilstuna,2,2,1691,Sam Hessel,NA,1927-06-06,1926_1927
Landskrona,Sleipner,1,0,2333,John Björkström,NA,1927-06-06,1926_1927
Helsingborg,Örgryte,2,3,9259,Gustaf Ekberg,NA,1927-06-06,1926_1927
IFK Göteborg,IFK Uddevalla,1,4,4055,Ragnar Bäckström,NA,1927-06-06,1926_1927
Elfsborg,AIK,1,1,4810,Arthur Björklund,NA,1927-06-06,1926_1927
IFK Norrköping,IFK Göteborg,2,2,1550,John Björkström,NA,1927-07-31,1927_1928
Landskrona,Örgryte,2,4,2108,Thore Ekström,NA,1927-07-31,1927_1928
Helsingborg,Sleipner,1,3,3475,David Andersson,NA,1927-07-31,1927_1928
Gais,Eskilstuna,6,0,2304,Otto Ohlsson,NA,1927-07-31,1927_1928
Elfsborg,AIK,2,1,3093,Sigfrid Benzer Halmstad,NA,1927-07-31,1927_1928
Djurgården,Stattena,3,2,5971,Rudolf Robinsson,NA,1927-07-31,1927_1928
Örgryte,Elfsborg,2,0,3305,Ernfrid Byman,NA,1927-08-03,1927_1928
Stattena,Landskrona,2,0,3868,Rudolf Börjesson,NA,1927-08-03,1927_1928
Stattena,Djurgården,3,1,3849,John Johansson,NA,1927-08-07,1927_1928
Sleipner,Gais,2,3,3078,Ivar Gustafsson,NA,1927-08-07,1927_1928
IFK Göteborg,Landskrona,2,1,2354,Knut Lundstedt,NA,1927-08-07,1927_1928
Eskilstuna,IFK Norrköping,4,1,1303,Axel Öberg,NA,1927-08-07,1927_1928
Elfsborg,Helsingborg,0,2,3601,Harvid Abrahamsson,NA,1927-08-07,1927_1928
AIK,Örgryte,1,3,7220,Arthur Björklund,NA,1927-08-07,1927_1928
Helsingborg,Landskrona,3,1,3133,NA,NA,1927-08-10,1927_1928
Sleipner,IFK Norrköping,7,2,2675,David Andersson,NA,1927-08-10,1927_1928
Gais,Örgryte,2,2,4114,Sigfrid Benzer Halmstad,NA,1927-08-10,1927_1928
AIK,Djurgården,2,1,6667,Thore Ekström,NA,1927-08-10,1927_1928
Helsingborg,AIK,1,2,4816,NA,NA,1927-08-14,1927_1928
Djurgården,IFK Göteborg,1,4,6209,John Björkström,NA,1927-08-14,1927_1928
Örgryte,Stattena,0,1,5042,Ruben Gelbord,NA,1927-08-14,1927_1928
IFK Norrköping,Elfsborg,2,2,1346,Frans Nilsson,NA,1927-08-14,1927_1928
Landskrona,Sleipner,1,1,1750,Elias Englund,NA,1927-08-14,1927_1928
Stattena,Helsingborg,2,3,4885,Erik W. Olsson,NA,1927-08-17,1927_1928
IFK Göteborg,Gais,1,2,5394,Rudolf Börjesson,NA,1927-08-17,1927_1928
Sleipner,Örgryte,3,3,3215,John Andersson,NA,1927-08-21,1927_1928
Gais,Djurgården,1,2,4550,Vidar Stenborg,NA,1927-08-21,1927_1928
Eskilstuna,Landskrona,2,1,1820,Ivar Gustafsson,NA,1927-08-21,1927_1928
Elfsborg,IFK Norrköping,4,1,2497,Osborn Wenzel,NA,1927-08-21,1927_1928
AIK,Stattena,5,1,4667,Axel Öberg,NA,1927-08-21,1927_1928
Örgryte,IFK Göteborg,2,2,5078,NA,NA,1927-08-24,1927_1928
IFK Norrköping,Örgryte,0,3,2049,Gustaf Ekberg,NA,1927-08-28,1927_1928
Landskrona,Elfsborg,2,1,1786,Sigfrid Benzer Halmstad,NA,1927-08-28,1927_1928
Helsingborg,Gais,2,2,6483,Rudolf Robinsson,NA,1927-08-28,1927_1928
IFK Göteborg,Sleipner,2,1,5222,Axel Bergqvist,NA,1927-08-28,1927_1928
Djurgården,Eskilstuna,4,1,2967,Otto Ohlsson,NA,1927-08-28,1927_1928
IFK Göteborg,Elfsborg,1,0,5602,NA,NA,1927-09-04,1927_1928
Stattena,Eskilstuna,2,6,3133,Carl Olsson,NA,1927-09-04,1927_1928
Örgryte,Djurgården,4,1,7322,Thore Ekström,NA,1927-09-11,1927_1928
Stattena,Sleipner,2,1,2738,Ruben Gelbord,NA,1927-09-11,1927_1928
IFK Norrköping,Helsingborg,2,2,4509,David Andersson,NA,1927-09-11,1927_1928
Landskrona,IFK Göteborg,6,1,1869,Ivar Gustafsson,NA,1927-09-11,1927_1928
Eskilstuna,Gais,2,2,2742,Arthur Björklund,NA,1927-09-11,1927_1928
AIK,Elfsborg,2,0,4166,Ernfrid Byman,NA,1927-09-11,1927_1928
Sleipner,Eskilstuna,4,1,2672,Axel Bergqvist,NA,1927-09-18,1927_1928
Helsingborg,Örgryte,6,1,6050,Arthur Björklund,NA,1927-09-18,1927_1928
Gais,AIK,3,3,7894,Axel Öberg,NA,1927-09-18,1927_1928
Elfsborg,Stattena,4,1,3377,John Johansson,NA,1927-09-18,1927_1928
Djurgården,IFK Norrköping,3,3,3060,Osborn Wenzel,NA,1927-09-18,1927_1928
IFK Norrköping,Gais,2,2,2201,Otto Ohlsson,NA,1927-09-25,1927_1928
IFK Göteborg,Helsingborg,1,1,14578,Ruben Gelbord,NA,1927-09-25,1927_1928
Eskilstuna,Djurgården,4,1,2737,Sam Hessel,NA,1927-09-25,1927_1928
Elfsborg,Landskrona,6,1,3270,Gustaf Ekberg,NA,1927-09-25,1927_1928
AIK,Sleipner,2,0,7553,Rudolf Börjesson,NA,1927-09-25,1927_1928
Örgryte,AIK,4,1,12795,John Björkström,NA,1927-10-02,1927_1928
Sleipner,Stattena,6,4,3081,Carl Olsson,NA,1927-10-02,1927_1928
Landskrona,Gais,0,2,1696,Axel Bergqvist,NA,1927-10-02,1927_1928
Helsingborg,IFK Norrköping,5,0,3443,Ivar Gustafsson,NA,1927-10-02,1927_1928
Eskilstuna,IFK Göteborg,2,1,2857,Elias Englund,NA,1927-10-02,1927_1928
Djurgården,Elfsborg,2,2,7110,Thore Ekström,NA,1927-10-02,1927_1928
IFK Norrköping,Eskilstuna,4,2,2349,NA,NA,1927-10-09,1927_1928
AIK,IFK Göteborg,2,2,9471,Otto Ohlsson,NA,1927-10-09,1927_1928
Gais,Sleipner,2,1,6990,Ivar Gustafsson,NA,1927-10-09,1927_1928
Sleipner,Elfsborg,2,3,2756,Alf Hillerström,NA,1927-10-16,1927_1928
Landskrona,AIK,3,1,1848,Carl Simonsson,NA,1927-10-16,1927_1928
Helsingborg,Eskilstuna,4,2,4088,Axel Westerlund,NA,1927-10-16,1927_1928
IFK Göteborg,Stattena,4,1,5024,Axel Boberg,NA,1927-10-16,1927_1928
Djurgården,Gais,1,2,6210,Karl Henriksson,NA,1927-10-16,1927_1928
Örgryte,Eskilstuna,4,1,6536,Otto Ohlsson,NA,1927-10-23,1927_1928
Stattena,AIK,3,6,1619,Ernfrid Byman,NA,1927-10-23,1927_1928
Sleipner,IFK Göteborg,2,1,3273,Axel Bergqvist,NA,1927-10-23,1927_1928
Landskrona,IFK Norrköping,3,1,1088,Alf Hillerström,NA,1927-10-23,1927_1928
Djurgården,Helsingborg,1,9,9075,Axel Bengtsson,NA,1927-10-23,1927_1928
IFK Norrköping,Djurgården,3,3,2712,Otto Ohlsson,NA,1927-10-30,1927_1928
Landskrona,Helsingborg,2,3,6805,Elias Englund,NA,1927-10-30,1927_1928
Gais,Stattena,2,1,6097,Gustaf Ekberg,NA,1927-10-30,1927_1928
Elfsborg,Örgryte,2,5,5222,Ivar Gustafsson,NA,1927-10-30,1927_1928
AIK,Eskilstuna,8,4,6995,Sam Hessel,NA,1927-10-30,1927_1928
Örgryte,IFK Norrköping,11,0,5514,Otto Ohlsson,NA,1928-04-06,1927_1928
IFK Göteborg,Eskilstuna,4,2,6529,Sigfrid Benzer Halmstad,NA,1928-04-08,1927_1928
Helsingborg,Elfsborg,2,0,5370,Arthur Björklund,NA,1928-04-09,1927_1928
Gais,Landskrona,5,0,5675,Sigfrid Benzer Halmstad,NA,1928-04-09,1927_1928
Stattena,IFK Göteborg,0,1,3713,Elias Englund,NA,1928-04-15,1927_1928
IFK Norrköping,AIK,2,0,2422,John Johansson,NA,1928-04-15,1927_1928
Landskrona,Djurgården,4,1,1610,John Björkström,NA,1928-04-15,1927_1928
Gais,Helsingborg,1,2,16748,Ernfrid Byman,NA,1928-04-15,1927_1928
Elfsborg,Sleipner,4,1,4197,Axel Bergqvist,NA,1928-04-15,1927_1928
Stattena,Gais,2,2,3792,Thore Ekström,NA,1928-04-22,1927_1928
Sleipner,Djurgården,4,1,3363,Sam Hessel,NA,1928-04-22,1927_1928
IFK Göteborg,IFK Norrköping,0,2,5381,Gustaf Ekberg,NA,1928-04-22,1927_1928
Eskilstuna,Elfsborg,2,1,2219,Alf Hillerström,NA,1928-04-22,1927_1928
AIK,Landskrona,4,2,7689,David Andersson,NA,1928-04-22,1927_1928
Örgryte,Helsingborg,2,1,22082,Axel Bergqvist,NA,1928-04-29,1927_1928
IFK Norrköping,Stattena,3,1,2984,John Andersson,NA,1928-04-29,1927_1928
Eskilstuna,AIK,3,1,2928,Arthur Björklund,NA,1928-04-29,1927_1928
Elfsborg,IFK Göteborg,1,0,4718,Gustaf Johansson,NA,1928-04-29,1927_1928
Djurgården,Landskrona,7,0,6645,Ernfrid Byman,NA,1928-04-29,1927_1928
Örgryte,Gais,1,0,9002,NA,NA,1928-05-04,1927_1928
Landskrona,Stattena,5,0,2198,Axel Larsson,NA,1928-05-05,1927_1928
Sleipner,AIK,3,1,3142,John Björkström,NA,1928-05-06,1927_1928
Helsingborg,IFK Göteborg,1,1,6885,Vidar Stenborg,NA,1928-05-06,1927_1928
Gais,IFK Norrköping,1,0,4125,Elias Englund,NA,1928-05-06,1927_1928
Elfsborg,Eskilstuna,1,1,4039,Alf Hillerström,NA,1928-05-06,1927_1928
Djurgården,Örgryte,2,2,12202,Sigfrid Benzer Halmstad,NA,1928-05-06,1927_1928
Helsingborg,Stattena,7,0,2787,NA,NA,1928-05-09,1927_1928
IFK Norrköping,Sleipner,0,5,3636,David Andersson,NA,1928-05-09,1927_1928
Djurgården,AIK,3,3,7913,Arthur Björklund,NA,1928-05-09,1927_1928
Gais,IFK Göteborg,1,2,6006,Ragnar Bäckström,NA,1928-05-11,1927_1928
Stattena,Elfsborg,1,9,1898,Gustaf Ekberg,NA,1928-05-13,1927_1928
Sleipner,Landskrona,1,3,2853,Knut Lundstedt,NA,1928-05-13,1927_1928
IFK Göteborg,Djurgården,3,0,7719,Vidar Stenborg,NA,1928-05-13,1927_1928
Eskilstuna,Örgryte,1,1,4356,Axel Öberg,NA,1928-05-13,1927_1928
AIK,Gais,0,1,7797,Otto Ohlsson,NA,1928-05-13,1927_1928
Örgryte,Sleipner,5,0,4367,Gustaf Johansson,NA,1928-05-17,1927_1928
Stattena,IFK Norrköping,0,2,899,Osborn Wenzel,NA,1928-05-17,1927_1928
Landskrona,Eskilstuna,11,0,2088,Gustaf Ekberg,NA,1928-05-17,1927_1928
Elfsborg,Djurgården,3,1,3239,Harvid Abrahamsson,NA,1928-05-17,1927_1928
AIK,Helsingborg,1,2,10093,John Johansson,NA,1928-05-17,1927_1928
Örgryte,Landskrona,4,0,9350,Vidar Stenborg,NA,1928-05-20,1927_1928
Sleipner,Helsingborg,0,0,3913,Elias Englund,NA,1928-05-20,1927_1928
Gais,Elfsborg,2,0,9350,Arthur Björklund,NA,1928-05-20,1927_1928
Eskilstuna,Stattena,0,1,1915,Gustav Thisell,NA,1928-05-20,1927_1928
Helsingborg,Djurgården,5,2,3868,Carl Olsson,NA,1928-05-28,1927_1928
Eskilstuna,Sleipner,1,1,1756,Ragnar Bäckström,NA,1928-05-28,1927_1928
AIK,IFK Norrköping,2,3,7231,Axel Öberg,NA,1928-05-28,1927_1928
IFK Göteborg,Örgryte,3,2,9408,Vidar Stenborg,NA,1928-06-01,1927_1928
Stattena,Örgryte,0,4,4731,Alf Hillerström,NA,1928-06-03,1927_1928
IFK Norrköping,Landskrona,1,1,1852,John Johansson,NA,1928-06-03,1927_1928
IFK Göteborg,AIK,1,1,4019,Axel Westerlund,NA,1928-06-03,1927_1928
Eskilstuna,Helsingborg,1,2,3188,Gustaf Ekberg,NA,1928-06-03,1927_1928
Elfsborg,Gais,3,1,3875,Axel Bergqvist,NA,1928-06-03,1927_1928
Djurgården,Sleipner,2,2,6941,Vidar Stenborg,NA,1928-06-03,1927_1928
Örgryte,IFK Norrköping,5,2,NA,Gustav Thisell,NA,1928-08-05,1928_1929
Westermalm,Gais,2,6,NA,Gustaf Johansson,NA,1928-08-05,1928_1929
Sleipner,IFK Göteborg,3,4,NA,Ragnar Bäckström,NA,1928-08-05,1928_1929
IFK Malmö,Helsingborg,5,1,NA,Carl Olsson,NA,1928-08-05,1928_1929
Landskrona,AIK,2,1,NA,David Andersson,NA,1928-08-05,1928_1929
Eskilstuna,Elfsborg,2,0,NA,Hugo Jacobsson,NA,1928-08-05,1928_1929
Westermalm,AIK,4,2,NA,Ernfrid Byman,NA,1928-08-10,1928_1929
Sleipner,IFK Norrköping,0,0,NA,John Johansson,NA,1928-08-10,1928_1929
Gais,Örgryte,1,5,NA,Arthur Björklund,NA,1928-08-10,1928_1929
IFK Norrköping,Eskilstuna,0,2,NA,Gustaf Ekberg,NA,1928-08-12,1928_1929
Landskrona,IFK Göteborg,1,2,NA,Elias Englund,NA,1928-08-12,1928_1929
Helsingborg,Elfsborg,5,3,NA,Sigfrid Benzer Halmstad,NA,1928-08-12,1928_1929
Gais,IFK Malmö,3,1,NA,Axel Larsson,NA,1928-08-12,1928_1929
AIK,Sleipner,2,5,NA,Otto Ohlsson,NA,1928-08-12,1928_1929
Helsingborg,Landskrona,5,1,NA,Vidar Stenborg,NA,1928-08-15,1928_1929
Örgryte,IFK Göteborg,2,4,NA,Otto Ohlsson,NA,1928-08-17,1928_1929
Sleipner,Westermalm,2,0,NA,Axel Öberg,NA,1928-08-19,1928_1929
IFK Göteborg,IFK Norrköping,1,0,NA,Sam Hessel,NA,1928-08-19,1928_1929
Eskilstuna,IFK Malmö,0,2,NA,Gustaf Ekberg,NA,1928-08-19,1928_1929
Elfsborg,Gais,2,2,NA,Gustaf Johansson,NA,1928-08-19,1928_1929
AIK,Helsingborg,2,3,NA,John Johansson,NA,1928-08-19,1928_1929
IFK Göteborg,Gais,3,2,NA,Ernfrid Byman,NA,1928-08-24,1928_1929
Örgryte,Westermalm,6,3,NA,Axel Bengtsson,NA,1928-08-26,1928_1929
IFK Norrköping,Elfsborg,4,0,NA,John Andersson,NA,1928-08-26,1928_1929
IFK Malmö,Sleipner,2,1,NA,Gustav Thisell,NA,1928-08-26,1928_1929
Landskrona,Eskilstuna,3,1,NA,Rudolf Börjesson,NA,1928-08-26,1928_1929
Helsingborg,AIK,2,2,NA,Osborn Wenzel,NA,1928-08-26,1928_1929
Westermalm,IFK Norrköping,1,1,NA,David Andersson,NA,1928-09-02,1928_1929
Sleipner,Örgryte,4,1,NA,Elias Englund,NA,1928-09-02,1928_1929
Helsingborg,IFK Göteborg,0,0,NA,Gustaf Ekberg,NA,1928-09-02,1928_1929
Gais,Landskrona,1,4,NA,Erik W. Olsson,NA,1928-09-02,1928_1929
Eskilstuna,AIK,5,1,NA,Arthur Björklund,NA,1928-09-02,1928_1929
Elfsborg,IFK Malmö,0,1,NA,John Johansson,NA,1928-09-02,1928_1929
Sleipner,IFK Malmö,1,2,NA,Ragnar Bäckström,NA,1928-09-09,1928_1929
Helsingborg,Örgryte,5,1,NA,Elias Englund,NA,1928-09-09,1928_1929
IFK Göteborg,Landskrona,4,1,NA,Axel Westerlund,NA,1928-09-09,1928_1929
Gais,Elfsborg,2,2,NA,Erik Malmström,NA,1928-09-09,1928_1929
Eskilstuna,Westermalm,2,0,NA,Axel Öberg,NA,1928-09-09,1928_1929
AIK,IFK Norrköping,1,0,NA,Sven Klang,NA,1928-09-09,1928_1929
Örgryte,Helsingborg,3,3,NA,Gustaf Ekberg,NA,1928-09-16,1928_1929
Westermalm,Eskilstuna,3,4,NA,Arthur Björklund,NA,1928-09-16,1928_1929
Sleipner,Gais,2,0,NA,Knut Lensing,NA,1928-09-16,1928_1929
IFK Malmö,IFK Göteborg,5,2,NA,Ragnar Bäckström,NA,1928-09-16,1928_1929
Landskrona,IFK Norrköping,1,1,NA,John Andersson,NA,1928-09-16,1928_1929
Elfsborg,AIK,4,1,NA,Vidar Stenborg,NA,1928-09-16,1928_1929
IFK Norrköping,Landskrona,0,1,NA,Hugo Jacobsson,NA,1928-09-23,1928_1929
Helsingborg,IFK Malmö,9,2,NA,John Johansson,NA,1928-09-23,1928_1929
Gais,Sleipner,6,0,NA,Alf Hillerström,NA,1928-09-23,1928_1929
Eskilstuna,IFK Göteborg,0,2,NA,Helge Sörblom,NA,1928-09-23,1928_1929
Elfsborg,Westermalm,3,0,NA,Erik Malmström,NA,1928-09-23,1928_1929
AIK,Örgryte,1,4,NA,Otto Ohlsson,NA,1928-09-23,1928_1929
Landskrona,Westermalm,2,3,NA,NA,NA,1928-09-30,1928_1929
Örgryte,Eskilstuna,6,2,NA,Thore Ekström,NA,1928-09-30,1928_1929
IFK Malmö,Elfsborg,3,4,NA,Erik W. Olsson,NA,1928-09-30,1928_1929
Westermalm,Helsingborg,2,5,NA,Knut Lensing,NA,1928-10-14,1928_1929
IFK Norrköping,Örgryte,1,3,NA,Otto Ohlsson,NA,1928-10-14,1928_1929
Landskrona,IFK Malmö,5,0,NA,Carl Olsson,NA,1928-10-14,1928_1929
IFK Göteborg,AIK,2,1,NA,Erik Malmström,NA,1928-10-14,1928_1929
Eskilstuna,Gais,3,2,NA,Ernfrid Byman,NA,1928-10-14,1928_1929
Elfsborg,Sleipner,1,2,NA,John Andersson,NA,1928-10-14,1928_1929
Örgryte,Elfsborg,5,4,NA,Arthur Björklund,NA,1928-10-21,1928_1929
IFK Norrköping,Sleipner,1,1,NA,John Johansson,NA,1928-10-21,1928_1929
IFK Malmö,Westermalm,0,1,NA,David Andersson,NA,1928-10-21,1928_1929
Landskrona,Gais,2,3,NA,Ragnar Bäckström,NA,1928-10-21,1928_1929
Helsingborg,Eskilstuna,13,1,NA,Osborn Wenzel,NA,1928-10-21,1928_1929
AIK,IFK Göteborg,3,3,NA,John Björkström,NA,1928-10-21,1928_1929
Westermalm,Landskrona,2,2,NA,Carl Olsson,NA,1928-10-28,1928_1929
