Contestant,Voter,Score,Artist,Song,Year
Israel,France,8,Dafna Dekel,Ze Rak Sport,1992
United Kingdom,France,10,Michael Ball,One Step Out of Time,1992
Italy,France,12,Mia Martini,Rapsodia,1992
Italy,Germany,1,Mia Martini,Rapsodia,1992
Yugoslavia,Germany,2,Extra Nena,Ljubim te pesmama,1992
France,Germany,3,Kali,Monté la riviè,1992
Israel,Germany,4,Dafna Dekel,Ze Rak Sport,1992
Denmark,Germany,5,Kenny Lübcke & Lotte Nilsson,Alt det som ingen ser,1992
Iceland,Germany,6,Heart 2 Heart,Nei eða já,1992
Netherlands,Germany,7,Humphrey Campbell,Wijs me de weg,1992
Portugal,Germany,8,Dina,Amor d'água fresca,1992
Ireland,Germany,10,Linda Martin,Why Me?,1992
United Kingdom,Germany,12,Michael Ball,One Step Out of Time,1992
Yugoslavia,Greece,1,Extra Nena,Ljubim te pesmama,1992
Portugal,Greece,2,Dina,Amor d'água fresca,1992
Italy,Greece,3,Mia Martini,Rapsodia,1992
Spain,Greece,4,Serafín,Todo esto es la música,1992
Netherlands,Greece,5,Humphrey Campbell,Wijs me de weg,1992
Iceland,Greece,6,Heart 2 Heart,Nei eða já,1992
Malta,Greece,7,Mary Spiteri,Little Child,1992
Austria,Greece,8,Tony Wegas,Zusammen geh'n,1992
Cyprus,Greece,10,Evridiki,Teriazoume,1992
Ireland,Greece,12,Linda Martin,Why Me?,1992
Norway,Iceland,1,Merethe Trøan,Visjoner,1992
Greece,Iceland,2,Cleopatra,Olou tou kosmou i Elpida,1992
Netherlands,Iceland,3,Humphrey Campbell,Wijs me de weg,1992
United Kingdom,Iceland,4,Michael Ball,One Step Out of Time,1992
Yugoslavia,Iceland,5,Extra Nena,Ljubim te pesmama,1992
Denmark,Iceland,6,Kenny Lübcke & Lotte Nilsson,Alt det som ingen ser,1992
Ireland,Iceland,7,Linda Martin,Why Me?,1992
Malta,Iceland,8,Mary Spiteri,Little Child,1992
Italy,Iceland,10,Mia Martini,Rapsodia,1992
Switzerland,Iceland,12,Daisy Auvray,Mister Music Man,1992
Switzerland,Ireland,1,Daisy Auvray,Mister Music Man,1992
